
> web@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.18.9:3001
- Environments: .env.local
✓ Ready in 678ms
Creating turbopack project {
  dir: 'D:\\My Work\\hrm-dijipeople\\DijiPeople\\dijipeople\\apps\\web',
  testMode: true
}

 GET /login?next=%2Fdashboard%2Fonboarding 200 in 513ms (next.js: 16ms, proxy.ts: 75ms, application-code: 422ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 518ms (next.js: 19ms, proxy.ts: 85ms, application-code: 414ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 459ms (next.js: 86ms, proxy.ts: 25ms, application-code: 348ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 459ms (next.js: 30ms, proxy.ts: 77ms, application-code: 352ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 470ms (next.js: 104ms, proxy.ts: 24ms, application-code: 342ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 473ms (next.js: 24ms, proxy.ts: 98ms, application-code: 350ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 534ms (next.js: 22ms, proxy.ts: 77ms, application-code: 435ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 538ms (next.js: 27ms, proxy.ts: 81ms, application-code: 429ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 474ms (next.js: 33ms, proxy.ts: 89ms, application-code: 352ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 483ms (next.js: 86ms, proxy.ts: 25ms, application-code: 371ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 543ms (next.js: 95ms, proxy.ts: 79ms, application-code: 370ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 513ms (next.js: 17ms, proxy.ts: 88ms, application-code: 409ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 502ms (next.js: 16ms, proxy.ts: 87ms, application-code: 399ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 463ms (next.js: 29ms, proxy.ts: 90ms, application-code: 344ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 378ms (next.js: 29ms, proxy.ts: 82ms, application-code: 268ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 352ms (next.js: 79ms, proxy.ts: 23ms, application-code: 250ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 322ms (next.js: 40ms, proxy.ts: 62ms, application-code: 220ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 330ms (next.js: 10ms, proxy.ts: 54ms, application-code: 265ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 329ms (next.js: 17ms, proxy.ts: 56ms, application-code: 256ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 280ms (next.js: 57ms, proxy.ts: 12ms, application-code: 211ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 319ms (next.js: 58ms, proxy.ts: 53ms, application-code: 208ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 273ms (next.js: 17ms, proxy.ts: 53ms, application-code: 202ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 281ms (next.js: 54ms, proxy.ts: 14ms, application-code: 213ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 346ms (next.js: 14ms, proxy.ts: 47ms, application-code: 285ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 350ms (next.js: 15ms, proxy.ts: 52ms, application-code: 284ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 308ms (next.js: 53ms, proxy.ts: 14ms, application-code: 241ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 355ms (next.js: 32ms, proxy.ts: 93ms, application-code: 230ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 267ms (next.js: 57ms, proxy.ts: 28ms, application-code: 183ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 333ms (next.js: 61ms, proxy.ts: 57ms, application-code: 215ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 279ms (next.js: 14ms, proxy.ts: 7ms, application-code: 258ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 324ms (next.js: 17ms, proxy.ts: 58ms, application-code: 249ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 281ms (next.js: 52ms, proxy.ts: 18ms, application-code: 210ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 312ms (next.js: 14ms, proxy.ts: 97ms, application-code: 200ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 272ms (next.js: 51ms, proxy.ts: 60ms, application-code: 160ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 341ms (next.js: 53ms, proxy.ts: 50ms, application-code: 238ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 461ms (next.js: 8ms, proxy.ts: 14ms, application-code: 439ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 467ms (next.js: 15ms, proxy.ts: 14ms, application-code: 438ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 463ms (next.js: 47ms, proxy.ts: 10ms, application-code: 406ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 507ms (next.js: 96ms, proxy.ts: 172ms, application-code: 239ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 473ms (next.js: 75ms, proxy.ts: 210ms, application-code: 188ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 354ms (next.js: 21ms, proxy.ts: 109ms, application-code: 224ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 295ms (next.js: 11ms, proxy.ts: 13ms, application-code: 271ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 299ms (next.js: 16ms, proxy.ts: 17ms, application-code: 265ms)
